_,Id,Name,RecordType,RecordType.Name,BillingLongitude,BillingLatitude
[Account],0013l00002NNPUsAAP,Good Shepherd Episcopal Indian Church,[RecordType],Church,-95.581715,29.618985
[Account],0011N00001rl6WFQAY,Iglesia Principe de Paz,[RecordType],Church,-95.497101,29.692481
[Account],0011N00001rl6kqQAA,New Apostolic Church,[RecordType],Church,-95.514866,29.672657
[Account],0011N00001rl6nLQAQ,Iglesia Mision Evangelistica,[RecordType],Church,-95.510702,29.685454
[Account],0011N00001zzlzOQAQ,Relate Community Church,[RecordType],Church,,
[Account],0011N00001k0AqJQAU,Victory Temple Baptist Church,[RecordType],Church,-95.40719,29.883799
[Account],0013l00002NNPU8AAP,San Romero Episcopal Church,[RecordType],Church,-95.5235,29.802946
[Account],0013l00002KyPsAAAV,First Baptist Church Groceville,[RecordType],Church,-95.32981,30.334658
[Account],0013l00002KyPsBAAV,Church of God-Seventh Day (COG7),[RecordType],Church,-95.335411,30.342498
[Account],0013l00002KyPsCAAV,Trail of Life Cowboy Church,[RecordType],Church,-95.326334,30.377069
[Account],0013l00002KyPsDAAV,Grace Baptist Church,[RecordType],Church,-95.41842,30.321652
[Account],0013l00002KyPsEAAV,King's Church,[RecordType],Church,-95.4479,30.3108
[Account],0013l00002KyPsFAAV,Living Word Church,[RecordType],Church,-95.416647,30.292631
[Account],0013l00002KyPsGAAV,Christ the King Church,[RecordType],Church,-95.422556,30.358415
[Account],0013l00002KyPsHAAV,Longmire Road Church of Christ,[RecordType],Church,-95.479135,30.322343
[Account],0013l00002KyPsIAAV,Riverock Church,[RecordType],Church,-95.437775,30.340998
[Account],0013l00002KyPsJAAV,The Ark Church,[RecordType],Church,-95.472529,30.295513
[Account],0013l00002KyPsKAAV,Sacred Heart Catholic Church,[RecordType],Church,-95.462069,30.308611
[Account],0013l00002KyPsLAAV,Conroe Seventh-day Adventist Church,[RecordType],Church,-95.404374,30.298541
[Account],0013l00002KyPsMAAV,Church of Jesus Christ of Latter-day Saints,[RecordType],Church,-95.431965,30.276795
[Account],0013l00002KyPsNAAV,Champion Forest Baptist Church C3/Conroe,[RecordType],Church,-95.461494,30.280328
[Account],0013l00002KyPsOAAV,Community Church of God,[RecordType],Church,-95.396342,30.250354
[Account],0013l00002NNPTUAA5,Holy Family HTX,[RecordType],Church,-95.332591,29.754484
[Account],0013l00002EF8U9AAL,St. Mary Magdalene Catholic Church,[RecordType],Church,,
[Account],0011N00001rl6alQAA,Iglesia Evangelica El Remanente,[RecordType],Church,-95.510949,29.709187
[Account],0011N00001rl6plQAA,Iglesia Pentecostes Jesus mi Fiel Amigo Inc.,[RecordType],Church,-95.490629,29.698535
[Account],0011N00001rlByuQAE,Iglesia de Jesucristo de Fundamento Apostolico,[RecordType],Church,-95.275623,29.686169
[Account],0013l00002NNUl3AAH,North Side Lutheran Church,[RecordType],Church,-95.355706,29.782846
[Account],0013l00002NNUl4AAH,Central Canaan Christian Church,[RecordType],Church,-95.352744,29.776882
[Account],0013l00002NNUl5AAH,Trinity Baptist Church SBC,[RecordType],Church,-95.356117,29.777569
[Account],0013l00002NNUl7AAH,The Hospital Church,[RecordType],Church,-95.341547,29.778045
[Account],0013l00002NNUl8AAH,Impact Houston Church of Christ,[RecordType],Church,-95.375377,29.777502
[Account],0013l00002NNUl9AAH,Juan Marcos Presbyterian Church,[RecordType],Church,-95.362216,29.792909
[Account],0013l00002NNUlAAAX,Ebenezer Baptist Church The Hospital Church,[RecordType],Church,-95.341547,29.778045
[Account],0013l00002NNVsEAAX,Houston Church of God,[RecordType],Church,-95.2773,29.7176
[Account],0013l00002NNVsFAAX,Church Lighthouse,[RecordType],Church,-95.278911,29.722226
[Account],0011N00001rlAAPQA2,Journey Church - Rosenberg,[RecordType],Church,-95.820971,29.555723
[Account],0013l00002NNYlGAAX,Bridging For Tomorrow,[RecordType],Church,-95.500125,29.960208
[Account],0013l000022O6FCAA0,West Lake Church,[RecordType],Church,-95.174468,30.032028
[Account],0011N00001rlC6zQAE,Iglesia Cristiana Nueva Vida Pentecostes,[RecordType],Church,-95.27839,29.671771
[Account],0011N00001rl6fWQAQ,Iglesia Pentecostal Dios es Capaz,[RecordType],Church,,
